,Me And You,Sunburst,Just Like Mick,Symi Fortuna,Sorority
08-01-2023 19:10:34.222354,"(13.0, 38.0, 33.5)","(1.45, 1.92, 1.784)","(3.8, 4.8, 4.122580645161291)","(31.0, 330.0, 79.75)","(5.5, 9.6, 7.810526315789474)"
08-01-2023 19:10:35.083804,"(13.0, 38.0, 33.5)","(1.45, 1.92, 1.784)","(3.8, 4.8, 4.122580645161291)","(31.0, 330.0, 79.75)","(5.5, 9.6, 7.810526315789474)"
08-01-2023 19:10:36.120554,"(13.0, 38.0, 33.5)","(1.45, 1.92, 1.784)","(3.8, 4.7, 4.06875)","(31.0, 330.0, 79.75)","(5.5, 9.6, 8.054545454545455)"
08-01-2023 19:10:37.321396,"(13.0, 38.0, 33.5)","(1.45, 1.92, 1.784)","(3.8, 4.6, 4.06875)","(31.0, 330.0, 79.75)","(5.5, 9.6, 8.054545454545455)"
08-01-2023 19:10:38.367404,"(13.0, 38.0, 33.5)","(1.45, 1.92, 1.784)","(3.8, 4.6, 4.06875)","(31.0, 330.0, 79.75)","(5.5, 9.6, 8.054545454545455)"
08-01-2023 19:10:39.287296,"(13.0, 38.0, 33.5)","(1.45, 1.92, 1.784)","(3.8, 4.6, 4.06875)","(31.0, 330.0, 79.75)","(5.5, 9.6, 8.054545454545455)"
08-01-2023 19:10:40.230971,"(13.0, 38.0, 33.5)","(1.45, 1.92, 1.784)","(3.8, 4.6, 4.06875)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.6, 8.054545454545455)"
08-01-2023 19:10:41.187807,"(13.0, 38.0, 33.5)","(1.45, 1.91, 1.69)","(3.8, 4.6, 4.06875)","(31.0, 330.0, 79.75)","(5.5, 9.6, 6.690909090909091)"
08-01-2023 19:10:42.193502,"(13.0, 38.0, 29.5)","(1.45, 1.9, 1.772)","(3.8, 4.6, 4.06875)","(31.0, 330.0, 79.75)","(5.5, 9.6, 8.0)"
08-01-2023 19:10:43.259665,"(13.0, 38.0, 29.5)","(1.45, 1.9, 1.772)","(3.8, 4.6, 4.06875)","(31.0, 330.0, 83.25)","(5.5, 9.6, 8.0)"
08-01-2023 19:10:44.171364,"(13.0, 38.0, 29.5)","(1.45, 1.9, 1.772)","(3.8, 4.6, 4.06875)","(31.0, 330.0, 88.28571428571428)","(5.5, 9.6, 7.8352941176470585)"
08-01-2023 19:10:45.157348,"(13.0, 38.0, 29.5)","(1.45, 1.88, 1.76)","(3.8, 4.6, 4.26)","(31.0, 330.0, 83.25)","(5.5, 9.6, 7.8352941176470585)"
08-01-2023 19:10:46.162114,"(13.0, 38.0, 29.5)","(1.45, 1.88, 1.76)","(3.8, 4.5, 4.2)","(31.0, 330.0, 83.25)","(5.5, 9.6, 8.0)"
08-01-2023 19:10:47.128258,"(13.0, 38.0, 29.5)","(1.45, 1.88, 1.76)","(3.8, 4.5, 4.2)","(31.0, 330.0, 83.25)","(5.5, 9.6, 7.1)"
08-01-2023 19:10:48.099105,"(13.0, 38.0, 29.5)","(1.45, 1.88, 1.76)","(3.8, 4.5, 4.2)","(31.0, 330.0, 83.25)","(5.5, 9.6, 7.3428571428571425)"
08-01-2023 19:10:49.078966,"(13.0, 38.0, 29.5)","(1.45, 1.88, 1.76)","(3.8, 4.5, 4.2)","(31.0, 330.0, 83.25)","(5.5, 9.2, 7.3428571428571425)"
08-01-2023 19:10:50.072985,"(13.0, 38.0, 29.5)","(1.45, 1.88, 1.76)","(3.8, 4.5, 4.2)","(31.0, 330.0, 83.25)","(5.5, 9.2, 7.3428571428571425)"
08-01-2023 19:10:51.170618,"(13.0, 38.0, 29.5)","(1.45, 1.88, 1.76)","(3.8, 4.5, 4.2)","(31.0, 330.0, 83.25)","(5.5, 9.2, 7.3428571428571425)"
08-01-2023 19:10:52.139908,"(13.0, 38.0, 29.5)","(1.45, 1.88, 1.76)","(3.8, 4.5, 4.383333333333334)","(31.0, 330.0, 83.25)","(5.5, 9.2, 7.3428571428571425)"
08-01-2023 19:10:53.222640,"(13.0, 38.0, 29.5)","(1.45, 1.88, 1.76)","(3.8, 4.7, 4.06875)","(31.0, 330.0, 83.25)","(5.5, 9.2, 8.266666666666666)"
08-01-2023 19:10:54.323834,"(13.0, 38.0, 29.5)","(1.45, 1.88, 1.76)","(3.8, 4.6, 4.06875)","(31.0, 330.0, 83.25)","(5.5, 9.2, 7.057142857142857)"
